Time(Iteration),CAB_original,LinUCB
0,4.58555273941,4.78878673728
1,8.62595352746,9.73241107012
2,12.5363110478,13.9584999044
3,15.8059873163,17.511358736
4,18.4210664148,20.0995753697
5,21.2878899659,22.6606248337
6,23.191327169,25.3868849651
7,24.6974609393,27.4565724486
8,26.9629504251,28.6643518999
9,27.9938288577,29.9672480492
10,28.844451121,31.1816504361
11,30.1095130411,32.8692351035
12,32.4732452496,34.7821038027
13,33.3060527565,35.7210299588
14,34.1691913203,36.5397806227
15,35.0067682616,37.3617747455
16,35.9861421448,38.0968102458
17,36.648110005,39.016811513
18,37.0406902413,39.6771524265
19,37.6271361183,40.3558549658
20,39.0877771779,41.567017014
21,39.5555144399,42.0506033483
22,40.2808995903,42.489682335
23,40.767072576,42.9887665509
24,41.0597625795,43.4661027583
25,41.5780338595,44.2160138009
26,41.8994945072,44.5522818306
27,42.4726183298,45.2490030173
28,42.8420899708,45.5954943414
29,42.957772729,46.0613094778
30,43.7893950256,46.5813438044
31,44.479735205,46.9132245208
32,44.74566446,47.4354962383
33,45.3064268738,48.1979019147
34,45.4872210115,48.5641149406
35,45.7447482284,48.9820995212
36,45.9563355737,49.2545035552
37,46.1319428824,49.4506576607
38,46.5229813161,49.9918074645
39,46.7800729583,50.0868508733
40,47.1144408542,50.2148411618
41,47.332231597,50.4110910481
42,47.4114040108,50.6008773064
43,47.6531233442,50.7458144876
44,47.7671715056,50.9744654716
45,47.8575841945,51.2147784449
46,47.9985333262,51.3168001718
47,48.2308082421,51.4044160715
48,48.2642587818,51.5976363697
49,48.5913369064,51.8744279294
50,48.6176792288,51.9007702517
51,48.6366546209,52.1242696328
52,48.6533189833,52.1362928647
53,48.7033285115,52.1964467516
54,48.7792405782,52.2765635636
55,48.8140338262,52.3679908389
56,48.9272367083,52.4101273179
57,49.1569477308,52.5390913331
58,49.3249741603,52.7918261321
59,49.3710983223,52.8322573793
60,49.4134103781,52.8745694351
61,49.5300534194,52.9737236645
62,49.6216241474,53.0327452275
63,49.6627416424,53.0738627225
64,49.7281988469,53.257451689
65,49.7455197497,53.3028117331
66,49.9420834088,53.5807728677
67,50.0544142142,53.7079645272
68,50.0792350331,53.846038224
69,50.0990406772,53.9402063727
70,50.173111241,54.045227707
71,50.173111241,54.045227707
72,50.3316392776,54.340701277
73,50.4824578753,54.7338260541
74,50.5562367342,54.93501495
75,50.6496393875,54.99127198
76,50.6950302269,55.0234479086
77,50.7720678501,55.1038138238
78,50.8085070747,55.1341003346
79,50.8545203769,55.3362481051
80,50.8710175531,55.3500304528
81,50.9739616221,55.4006601638
82,51.0050170964,55.4676267392
83,51.0050596037,55.632382161
84,51.0387937329,55.6410400763
85,51.0471561719,55.7363415186
86,51.0725971262,55.7763100586
87,51.1311583083,55.8404841343
88,51.1453725855,55.974280064
89,51.1453725855,56.2003565164
90,51.1510412724,56.3050027432
91,51.1520557919,56.3907164397
92,51.1599710265,56.4357810884
93,51.1682169337,56.4840130605
94,51.2544117525,56.6861121699
95,51.2597991433,56.6983321754
96,51.2634268888,56.7725310313
97,51.2868455728,56.8554621918
98,51.3204537158,57.0243813093
99,51.3734211335,57.1071648232
100,51.3889827554,57.223798564
101,51.4146487223,57.2608601585
102,51.4773057974,57.3089618367
103,51.4872390792,57.313214525
104,51.4872390792,57.3793899622
105,51.5073882715,57.4346603145
106,51.5073882715,57.4346603145
107,51.5107233476,57.4379953906
108,51.5468436428,57.5050031022
109,51.5510806198,57.5524812829
110,51.556672937,57.583823128
111,51.556672937,57.5960934348
112,51.5710791657,57.6104996635
113,51.5764707877,57.8220717892
114,51.5864081844,57.835715127
115,51.6027113013,57.8412072856
116,51.6241791798,57.8568500743
117,51.6250735997,57.9072846746
118,51.6629902567,57.9764020304
119,51.6714030543,57.9941928051
120,51.7030974766,58.0196223866
121,51.7030974766,58.0557929754
122,51.7030974766,58.0557929754
123,51.7098014931,58.0600394537
124,51.7098014931,58.0605955662
125,51.7157049909,58.1899189825
126,51.7375042257,58.1970387875
127,51.7375042257,58.1970387875
128,51.762627825,58.2221623869
129,51.8247853551,58.2488136909
130,51.8433814587,58.3449975335
131,51.8650587444,58.356620848
132,51.9189912024,58.4718726998
133,51.9322197142,58.5201876191
134,51.9322197142,58.6015728748
135,51.9537033665,58.6264834171
136,51.9617640531,58.6345441037
137,51.9617640531,58.6566035895
138,52.0089733091,58.7038128456
139,52.0095401982,58.7092832772
140,52.054032849,58.7264054711
141,52.0823711885,58.8060232173
142,52.0823711885,58.8060232173
143,52.0870687056,58.8330207835
144,52.0870687056,58.8330207835
145,52.148148644,58.8343649601
146,52.148148644,58.8343649601
147,52.148148644,58.9004611261
148,52.1547205416,59.1992851268
149,52.1661121739,59.1992851268
150,52.184596654,59.2099393235
151,52.1979106962,59.2288637601
152,52.1979106962,59.2772666727
153,52.203769879,59.2831258554
154,52.203769879,59.2831258554
155,52.2780253665,59.3632621585
156,52.2866130588,59.3683462396
157,52.2872640869,59.3689972677
158,52.2882502261,59.4153245559
159,52.2969520815,59.4270569181
160,52.3066819938,59.4644321093
161,52.3066819938,59.4644321093
162,52.3072884019,59.4650385173
163,52.3302477506,59.5973621563
164,52.3429163818,59.6686284331
165,52.3429163818,59.7303799225
166,52.3644375906,59.7519011312
167,52.3659659166,59.7711388132
168,52.3659659166,59.8961681846
169,52.3659659166,59.9249808526
170,52.3701632321,59.9396465146
171,52.3701632321,59.9455235657
172,52.375303859,59.9726663289
173,52.4368459088,59.9750532715
174,52.4570859133,59.9750532715
175,52.462681378,59.9839984338
176,52.4664920173,59.9878090732
177,52.4664920173,60.0094509077
178,52.4664920173,60.0094509077
179,52.4801717724,60.0511170751
180,52.4837970478,60.0660414655
181,52.4837970478,60.1094339412
182,52.4837970478,60.1094339412
183,52.4837970478,60.1137086441
184,52.4837970478,60.2253799804
185,52.4894604972,60.2701412359
186,52.5027561796,60.2960283468
187,52.5125298937,60.3058020609
188,52.5125298937,60.3058020609
189,52.5183274944,60.3115996616
190,52.5471662285,60.3404383957
191,52.5471662285,60.4086188032
192,52.5471662285,60.4106027563
193,52.5510069078,60.4144434356
194,52.6219633239,60.5935157597
195,52.6219633239,60.5935157597
196,52.6664252801,60.5989031505
197,52.6664252801,60.5989031505
198,52.6664252801,60.6197331409
199,52.6688235759,60.6197331409
200,52.6886790692,60.6448831812
201,52.6960052763,60.6522093883
202,52.6960052763,60.6666794834
203,52.6960052763,60.6951635649
204,52.6960052763,60.6951635649
205,52.7014633466,60.7435195004
206,52.7027497916,60.7435195004
207,52.7399039445,60.816460385
208,52.7580820574,60.8346384979
209,52.7610375909,60.9270302318
210,52.7756671087,60.9652844338
211,52.7756671087,60.9652844338
212,52.7756671087,61.0547011124
213,52.7861861457,61.0652201493
214,52.7915421868,61.0704252648
215,52.8105173097,61.0862115024
216,52.8105173097,61.0929480986
217,52.8266485455,61.2610373541
218,52.8275797781,61.2620629274
219,52.8275797781,61.3007134202
220,52.8275797781,61.3007134202
221,52.8670358264,61.3007134202
222,52.8692661205,61.3067398273
223,52.8692661205,61.3067398273
224,52.8735410912,61.340549852
225,52.8735410912,61.340549852
226,52.8735410912,61.340549852
227,52.8800471701,61.340549852
228,52.8800471701,61.3407390655
229,52.9026550768,61.3633469723
230,52.9028845205,61.3666846804
231,52.9028845205,61.388674222
232,52.9028845205,61.3926953216
233,52.9033088136,61.3943896678
234,52.9094949158,61.40057577
235,52.9316940792,61.4025369875
236,52.9316940792,61.4057393137
237,52.9316940792,61.4516478554
238,52.9316940792,61.4516478554
239,52.9381901165,61.4581438928
240,52.9381901165,61.4581438928
241,52.9444437679,61.4624188634
242,52.9654551342,61.4844613918
243,52.9663105383,61.4853167959
244,52.969169942,61.4881761997
245,52.969169942,61.4881761997
246,52.969169942,61.4881761997
247,52.969169942,61.4942676824
248,52.969169942,61.5147534411
249,52.9764204108,61.5220039099
250,52.982336019,61.5305362115
251,53.0087540084,61.5305362115
252,53.015030827,61.5359176433
253,53.015030827,61.5359176433
254,53.015030827,61.5376223992
255,53.0166404699,61.5452853542
256,53.0166404699,61.5452853542
257,53.0308286063,61.5517631354
258,53.0358460225,61.5567805517
259,53.0402823808,61.5613159764
260,53.0450575736,61.5711999082
261,53.1031089982,61.6292513329
262,53.1031089982,61.6292513329
263,53.1031089982,61.6292513329
264,53.1077138496,61.6326005818
265,53.1131054717,61.6326005818
266,53.129265164,61.6487602741
267,53.140301646,61.663124444
268,53.1428917267,61.6657449144
269,53.1428917267,61.6657449144
270,53.1428917267,61.6657449144
271,53.1428917267,61.6657449144
272,53.1434021497,61.6657449144
273,53.1434021497,61.6657449144
274,53.1434021497,61.6657449144
275,53.148956485,61.6712992496
276,53.1535003042,61.6843408004
277,53.1535003042,61.6843408004
278,53.1535003042,61.6843408004
279,53.1563116108,61.6917315196
280,53.1563116108,61.6917315196
281,53.1656215919,61.7319087177
282,53.1656215919,61.7319087177
283,53.1871698186,61.7521471063
284,53.1923268602,61.7619014412
285,53.1975981312,61.7671727122
286,53.1985562559,61.7681308369
287,53.1997372462,61.7714697535
288,53.1997372462,61.7714697535
289,53.1997372462,61.7714697535
290,53.1997372462,61.7714697535
291,53.2030931659,61.7748256731
292,53.2137053577,61.7854378649
293,53.2137053577,61.7854378649
294,53.2137053577,61.7854378649
295,53.2176666467,61.7903646135
296,53.2176666467,61.7903646135
297,53.2176666467,61.7903646135
298,53.2214794717,61.8125345027
299,53.2214794717,61.8125345027
300,53.2227231916,61.8137782226
301,53.2227231916,61.8137782226
302,53.2227231916,61.8137782226
303,53.2247948984,61.8166477691
304,53.2247948984,61.8166477691
305,53.2247948984,61.8183002418
306,53.2257680599,61.8192734033
307,53.2257680599,61.8192734033
308,53.2257680599,61.8192734033
309,53.2257680599,61.8192734033
310,53.2257680599,61.8192734033
311,53.2257680599,61.8192734033
312,53.2382093505,61.8192734033
313,53.2382093505,61.8192734033
314,53.2787406167,61.8599673828
315,53.2787406167,61.8694426245
316,53.280341163,61.8710431707
317,53.280341163,61.8710431707
318,53.2811238853,61.8749558228
319,53.2844102569,61.8782421944
320,53.2906897186,61.8901447505
321,53.2906897186,61.8901447505
322,53.2931641541,61.8901447505
323,53.2936249268,61.8906055233
324,53.2936249268,61.8906055233
325,53.2936249268,61.8906055233
326,53.2936249268,61.8906055233
327,53.2936249268,61.8906055233
328,53.3111063842,61.9080869807
329,53.3111063842,61.9080869807
330,53.3129279847,61.9109803095
331,53.3146086848,61.9126610096
332,53.3397784237,61.9126610096
333,53.3397784237,61.9126610096
334,53.3397784237,61.9126610096
335,53.3619618577,61.9348444437
336,53.3629068095,61.9348444437
337,53.4611537621,62.1272295171
338,53.4611537621,62.1376665395
339,53.4853135853,62.1618263627
340,53.4853135853,62.1618263627
341,53.4977361067,62.1742488841
342,53.4977361067,62.1742488841
343,53.502552934,62.1790657114
344,53.5035853753,62.1800981527
345,53.5035853753,62.1800981527
346,53.5059481627,62.1824609401
347,53.5059481627,62.1878318606
348,53.5117435916,62.1934046638
349,53.512950453,62.1934046638
350,53.512950453,62.1934046638
351,53.512950453,62.1947251754
352,53.5176103509,62.1947251754
353,53.5176103509,62.1947251754
354,53.5176103509,62.1947251754
