Time(Iteration),CAB_original,CAB_true_decrease,CAB_optimal,LinUCB
0,6.12816571811,7.58305518606,7.58305518606,7.45279335496
1,12.8832193785,10.3931271252,10.3931271252,12.5569928986
2,17.5118394629,12.4393319254,12.4393319254,15.1176334948
3,22.0602399299,14.5012410016,14.5012410016,18.7422429913
4,26.0837424374,15.9075944028,15.9075944028,21.6542613089
5,28.8252209535,17.4918564749,17.4918564749,24.530538837
6,31.6555923282,18.9269319418,18.9269319418,27.0304138901
7,34.1414594958,20.3253951403,20.3253951403,29.1270987383
8,35.7825539551,21.4954063285,21.4954063285,30.9849439351
9,38.2097886537,22.3663163651,22.3663163651,32.402429618
10,40.0079071509,22.8634397592,22.8634397592,34.004619031
11,41.4504768556,24.0261882359,24.0261882359,35.9542511111
12,42.6580831783,24.3853923664,24.1682196575,37.1220881582
13,43.5686756363,24.858706919,24.6224357245,37.9655920513
14,45.4870876843,26.2349759502,25.4947309952,39.7483233053
15,46.7895055437,26.6904507619,25.8410286464,40.6942635549
16,48.059577593,27.5618849114,27.0281872372,41.9591359874
17,48.9613957825,28.1330099002,27.7821357119,42.8964950159
18,49.2394608411,28.4853330986,28.3429464472,43.6752199444
19,49.7896034044,29.0998542534,29.1356770923,44.3544056407
20,50.5164115456,29.5188284554,29.6033321689,45.1059734576
21,51.0232432989,29.804381361,29.8837245223,45.4625676168
22,51.1680098616,30.3370570864,30.345763063,46.3536029491
23,51.6787237266,30.5391095278,30.5338645885,46.8928109978
24,52.1085977151,30.7490693236,31.0674267461,47.7630965811
25,52.6924826591,31.0093745009,31.2198338942,48.6025331254
26,53.2419984778,31.4811087252,31.7687255781,49.1306001667
27,53.5881379922,31.6653733418,32.0621737969,49.3781986348
28,53.7157431512,32.1842531145,32.4203893068,50.1605622524
29,54.09726963,32.3803921347,32.6452909049,50.8215524512
30,54.4067756898,32.7611582282,33.0548392382,51.2928141022
31,54.6215848879,33.2340085964,33.5461428952,51.7618548714
32,55.0117304422,33.3971592659,33.7335825588,52.000203958
33,55.293483195,33.4490024869,33.8846620785,52.198479013
34,55.5695211538,33.5234366273,33.9691056795,52.6102885023
35,55.7057433514,33.9022284039,34.36868363,52.9987433455
36,55.9016030793,34.1466622376,34.5065060779,53.2197365766
37,56.1070937119,34.3102437694,34.8423662694,53.6558283236
38,56.4774703198,34.5299184577,35.0052876624,54.0349494673
39,56.8274870397,35.0471986265,35.3322379255,54.5902765749
40,56.9391487026,35.4157007843,35.5307636313,55.0861863912
41,57.3226972693,35.6493649185,35.6670839961,55.5485501986
42,57.5425886427,36.0186661079,35.8831324456,56.0562949028
43,57.8272631821,36.2829388201,36.1356971816,56.3729932306
