Time(Iteration),CAB_true_decrease
0,5.39396760482
1,8.31397943616
2,11.1665594806
3,13.6716993815
4,16.6250303366
5,18.3244470424
6,20.4033251118
7,21.8581203063
8,24.3833091277
9,27.0422006841
10,29.379470214
11,31.3857532638
12,33.8448011745
13,35.390480471
14,38.1814055568
15,40.3368083381
16,42.5566325961
17,44.5956539631
18,45.9615404277
19,48.3570789888
20,50.4905744912
21,52.3914751601
22,53.349314899
23,54.6287501661
24,56.02481393
25,57.2040152223
26,59.2614786307
27,60.7648231534
28,62.3647959956
29,63.6942619656
30,65.1571662026
31,67.2018451979
32,68.8685705541
33,70.427029467
34,71.7003054835
35,73.6609782866
36,75.2224749042
37,76.9481330572
38,78.2568142905
39,79.2393605495
40,81.3375380644
41,82.917443134
42,84.1431818406
43,85.5481586922
44,86.4275815152
45,88.1011572529
46,90.0907243294
47,91.0510627169
48,93.2487823771
49,95.1625569717
