Time(Iteration),CAB_reject,CAB_original,LinUCB
0,6.14729778188,6.86328560908,6.11587565668
1,13.5205210579,12.3400245989,11.3824881286
2,19.0399918864,17.0223267962,15.160850216
3,24.675401242,21.0861326811,18.0515808489
4,30.9097859269,25.1666618503,20.8008984419
5,37.0903059359,27.801709713,23.3508613097
6,42.7621143913,30.0376135625,25.7089220521
7,46.8776845977,32.0799748073,27.8793289572
8,52.7778418595,34.0006974814,29.989484017
9,57.8668622736,35.3011461048,31.6767950323
10,61.9237954775,36.3181479948,33.3155468093
11,65.464612775,37.9682944742,34.649323803
12,70.2522386601,39.7535019986,35.6843774211
13,75.6354974576,41.1332680584,36.8404825784
14,79.0526638121,42.3871697282,38.0294358443
15,84.0037411269,43.4658408179,38.944049467
16,87.9860464209,44.7052919704,40.4907536133
17,92.7251559978,45.2706191617,41.092555439
18,96.2316334349,45.6421340248,41.7990241773
19,100.177502492,46.0873430891,42.3690934877
20,102.520841188,46.8950673705,43.0376755746
21,107.501180507,47.6718621171,43.9367054558
22,111.974024459,48.1402131926,44.2603459491
23,116.110644301,48.7702041445,45.0178195418
24,121.221587302,49.3876847014,45.2593650262
25,126.202654216,49.8212465708,45.438195687
26,130.872112816,50.2365279663,46.1743068472
27,134.049092992,50.7951568377,46.2544429025
28,138.273279143,51.1736982742,46.6952631123
29,142.627734752,51.465220424,46.98635092
30,147.141204127,51.6844685649,47.3358845358
31,150.39865312,52.011882706,47.6995199287
32,154.784968411,52.1181997912,47.9812922025
33,158.157486208,52.5426031794,48.5035578343
34,163.093874057,52.7206420019,48.72789118
35,168.04732832,53.0687543874,49.1715434099
36,172.534284738,53.3374474375,49.5034954103
37,177.652971956,53.4592362553,49.582018386
38,181.282809897,53.7172325771,49.8963505368
39,185.354463892,54.2586784314,50.2612394978
40,190.037870718,54.3911897128,50.5639361803
41,194.726505739,54.5273403522,50.6525023875
42,200.373796094,54.7174469656,50.9222280335
43,204.400457113,54.8146592518,51.0562816107
44,208.315806497,55.1397241411,51.3134139849
45,212.707830435,55.2337460746,51.437484817
46,218.702530138,55.3342799955,51.6385064816
47,223.861589933,55.5248931265,51.7580816147
48,227.706565203,55.613613971,51.9254088977
49,232.40479786,55.7129429616,52.0405789234
50,236.558455728,55.924253025,52.2646282106
51,239.877412991,56.0929723775,52.4145908324
52,244.514771314,56.2080534607,52.5189932492
53,248.703352516,56.3744895429,52.5519836459
54,252.445418705,56.5262793951,52.5961546088
55,257.380856245,56.7785809218,52.8419559266
56,261.47433532,57.2580754407,53.3791028198
57,265.110190313,57.5920515575,53.5572717623
58,269.734184316,57.9348980024,53.8213036155
59,273.444891694,57.9538710821,53.8718463002
60,277.346897372,57.9897713206,53.8718463002
61,282.207873253,58.2773193756,54.025559466
62,285.950536614,58.3139694032,54.0766692237
63,290.825684985,58.4789101856,54.2068675117
64,295.440904595,58.7133845363,54.6772753488
65,299.53747474,59.0605733154,55.0928528586
66,302.737446743,59.1436175389,55.2318864111
67,307.746003661,59.238474372,55.4337853428
68,310.63404063,59.4951551157,55.5931361451
69,315.987933017,59.5783043779,55.7140787211
70,320.888819725,59.6903621693,55.8545615476
71,325.960384225,59.7011354601,55.9619797662
72,330.194476083,60.1071848947,56.3427421698
73,335.477170955,60.1071848947,56.4055855886
74,339.473397807,60.2506781243,56.8091004192
75,343.692387425,60.4315372958,56.8986933418
76,347.997358092,60.4696038665,57.0582143548
77,351.644541,60.6606954653,57.1996388951
78,356.438680863,60.6886974747,57.2684768053
79,360.815704442,60.8427413383,57.4519946512
80,364.102207478,60.8871030651,57.4792882842
81,367.800380776,60.9203863678,57.5125715869
82,370.755530961,60.9436294704,57.5704600584
83,373.337979525,61.0911116847,57.7179422727
84,376.649820211,61.1631677077,57.7651484189
85,380.304142965,61.3810942966,57.9664775133
86,383.205493147,61.5367231973,58.2230957659
87,385.867879619,61.5903692056,58.2522087607
88,389.611874089,61.7324801649,58.3384510284
89,393.860415141,61.7466064138,58.408732689
90,396.617466468,61.811743689,58.4473733855
91,401.90927896,61.8926011827,58.5282308791
92,406.087395169,61.9239581904,58.5510735933
93,410.658325728,61.9766918805,58.5955140137
94,413.039412146,61.9790128221,58.640358402
95,416.904629728,62.0028035729,58.6641491528
96,421.632361947,62.0361075823,58.7220947473
97,424.891948399,62.0795050744,58.8307390024
98,428.17465064,62.09507143,58.8463053581
99,432.507012416,62.2600951305,59.0813289531
100,436.303288298,62.3373905991,59.1586244218
101,440.418907717,62.4688981141,59.2821186709
102,443.588070945,62.6991231927,59.4553044974
103,448.826196038,62.7114765093,59.4940238374
104,452.648772345,62.7238180323,59.5106650261
105,456.463385586,62.7356120771,59.5647842715
106,460.087695378,62.7362446208,59.5654168152
107,465.476872593,62.7851803021,59.6143524964
108,469.299909887,62.8448957435,59.7064477824
109,473.882500149,62.8865321057,59.76207995
110,479.135267833,62.9186591036,59.7692208048
111,481.712475627,62.9373315983,59.8156329268
112,486.574476869,62.9851201902,59.8634215187
113,491.29377138,63.08399125,59.9058668687
114,496.214940112,63.0845001113,59.9440352943
115,500.056357757,63.2066067982,60.0789654366
116,503.740402827,63.2089337375,60.1058877343
117,508.642809499,63.2427457332,60.1345783703
118,512.298860563,63.2526701739,60.149125476
119,517.340926531,63.4045862459,60.3023939244
120,521.323280948,63.4513487853,60.3491564637
121,525.253206016,63.477995532,60.5480314661
122,529.200586284,63.5879066515,60.5890094617
123,532.218597782,63.6645312233,60.6969185452
124,535.464027306,63.6917112638,60.7240985858
125,541.311783896,63.7731708555,60.9039845335
126,545.700381557,63.8625163839,60.9291559765
127,549.003461415,63.8721675944,60.9527933506
128,554.583029177,64.0613426699,61.1291439457
129,559.490502369,64.0878085378,61.1514634943
130,564.429064737,64.1303596041,61.1548440217
131,568.040926168,64.1308002742,61.1548440217
132,572.170499982,64.1661783634,61.1902221109
133,575.651503565,64.3148315283,61.2774448553
134,581.407803725,64.366716507,61.4762586985
135,585.823999396,64.4184916326,61.5280338241
136,589.412594212,64.4924786578,61.5701605715
137,594.635654782,64.5840515178,61.6655443126
138,600.554230571,64.6945364129,61.8352545674
139,604.128860488,64.7069888501,61.8851393637
140,608.117052453,64.7805385132,61.957275433
141,612.150056845,64.8677933703,62.1236161903
142,616.7811807,64.8677933703,62.1236161903
143,621.174804433,64.8987368421,62.1545596621
144,625.375834367,64.9345517963,62.2517629293
145,630.418372374,64.9623194138,62.2792365038
146,635.127954615,64.9634652708,62.2803823607
147,639.482714643,65.0656444629,62.3056231281
148,643.608494756,65.1048581797,62.385999641
149,647.747587154,65.1822050558,62.452165575
150,651.887053766,65.1822050558,62.5686163964
151,656.027993629,65.3060772408,62.6728711332
152,661.388536618,65.3449851273,62.6908453961
153,665.073312174,65.3449851273,62.6908453961
154,669.211320205,65.4397764527,62.738594596
155,673.851887853,65.4502353933,62.7599622703
156,678.522950247,65.4571802693,62.771663155
157,681.673956096,65.4571802693,62.7837234983
158,684.583792143,65.4842698142,62.8717457778
159,689.90369058,65.4948637526,62.9018860734
160,694.347817055,65.4973070471,62.9043293678
161,699.286249805,65.6007229294,62.9462560997
162,703.738199905,65.7022768344,62.954215798
163,708.696270744,65.7334419597,62.9703456588
164,713.193993164,65.7493979869,62.9800779681
165,716.671671815,65.8343598404,63.0675064521
166,721.14128668,65.8638246616,63.0970580186
167,725.649059957,65.8723091236,63.1055424806
168,728.718798193,65.876883102,63.1605247892
169,731.514452054,65.8876858158,63.1635925388
170,734.371747092,65.9824036143,63.2638179756
171,737.90823989,65.9912766587,63.2638179756
172,741.752840487,66.0177528534,63.3242027245
173,745.67044587,66.0279387933,63.3552389361
174,749.594827041,66.0543353882,63.5425923158
175,753.513322378,66.0763759736,63.5608799287
176,757.855234906,66.1047386751,63.585294187
177,761.729967716,66.1612823078,63.6161009757
178,766.15896133,66.1612823078,63.6161009757
179,771.992419283,66.1832899657,63.6259572718
180,775.888136719,66.1832899657,63.6450976952
181,780.947201371,66.2054106615,63.667218391
182,785.661481672,66.2054106615,63.667218391
183,790.827470534,66.2069442519,63.8327555708
184,793.546979944,66.2622038448,63.8952798877
185,797.07711211,66.2850367747,64.0028547092
186,800.603765722,66.2850367747,64.0190519804
187,805.629443683,66.2850367747,64.0278540475
188,808.3627414,66.2971103027,64.0278540475
189,812.058693707,66.2996446103,64.0303883552
190,815.766373289,66.3103761318,64.04443497
191,820.314549492,66.3215340381,64.1258967471
192,823.876100728,66.3215340381,64.1370378615
193,828.302284398,66.3500568022,64.1430422479
194,831.900919276,66.3739200456,64.1669054912
195,836.719520628,66.3739200456,64.1669054912
196,841.378270058,66.3782756907,64.1669054912
197,844.704698264,66.4276537393,64.2496786834
198,849.009821016,66.4727190553,64.30018395
199,852.906761602,66.4877679446,64.3151232283
