Time(Iteration),CAB_true_increaseCoTheta,CAB_originalCoTheta,CAB_true_decreaseCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.97748599798,0.979854796643,0.97748599798,0.97748599798,0.977495367299,,,,,,
1,0.950264969487,0.950397793463,0.933322129031,0.933322129031,0.952081926214,,,,,,
2,0.936622093191,0.935721881298,0.902184041194,0.902184041194,0.935277092825,,,,,,
3,0.91531290125,0.913602916381,0.879673653555,0.879673653555,0.916157675764,,,,,,
4,0.896971045037,0.888715393129,0.859691630738,0.859691630738,0.898311820659,,,,,,
5,0.870267521977,0.866219349576,0.833866292729,0.833866292729,0.876879203814,,,,,,
6,0.842707244156,0.829068086938,0.801592794481,0.801592794481,0.851079842139,,,,,,
7,0.820421488683,0.804494104857,0.780968164428,0.780968164428,0.834854556929,,,,,,
8,0.805894685981,0.784118560919,0.765147122987,0.765147122987,0.822573193267,,,,,,
9,0.785380220254,0.769623296682,0.745839382326,0.745839382326,0.810369254082,,,,,,
10,0.762937758059,0.753191297177,0.737541370164,0.737541370164,0.79560122835,,,,,,
11,0.743346986184,0.734398157537,0.723790222139,0.724937222565,0.776489355484,,,,,,
12,0.732554683383,0.726461038239,0.714342288723,0.715357458411,0.762629001987,,,,,,
13,0.719278408291,0.711943088065,0.701879016245,0.69871689571,0.74397070063,,,,,,
14,0.696125572825,0.704024998992,0.688665619158,0.685740153177,0.716941837051,,,,,,
15,0.682790399856,0.695815461768,0.676721590353,0.672587154637,0.708261233762,,,,,,
16,0.672384802146,0.677798415172,0.666095117448,0.660469484851,0.698583738137,,,,,,
17,0.659964223599,0.667696137588,0.645979991276,0.647361774209,0.685163684279,,,,,,
18,0.645002160818,0.653162829296,0.629835603651,0.627878423334,0.66807685953,,,,,,
19,0.637439395831,0.644293830202,0.619478209954,0.616304417732,0.658363886277,,,,,,
20,0.632430440472,0.631939518903,0.610508695845,0.606035407024,0.647726948707,,,,,,
21,0.615986106292,0.616669635546,0.59652647674,0.594270648866,0.631831926367,,,,,,
22,0.600933537837,0.602466665344,0.587925483403,0.583226906492,0.626393065029,,,,,,
23,0.593119744977,0.595721226142,0.579805142136,0.577145725394,0.621081589555,,,,,,
24,0.582928072856,0.582817925324,0.575792202613,0.564857610821,0.611368052541,,,,,,
25,0.575284378321,0.57990268666,0.565563782734,0.558488960186,0.604191099221,,,,,,
26,0.557376093428,0.558106993334,0.553177724865,0.549585623294,0.588169913014,,,,,,
27,0.548166359659,0.551683992302,0.547139898701,0.543559168034,0.576724061556,,,,,,
28,0.544610763187,0.546603819048,0.542785132883,0.535178241366,0.57202630003,,,,,,
29,0.538559189839,0.533589120684,0.537877255961,0.529966242065,0.561504967077,,,,,,
30,0.535089910354,0.526633269465,0.534427252448,0.525237838877,0.556327312042,,,,,,
31,0.52350603113,0.521739696779,0.52120180735,0.513658273761,0.541162049102,,,,,,
32,0.512485541161,0.510216454791,0.512621162425,0.506392308481,0.530069292296,,,,,,
33,0.506974722605,0.503460149997,0.508741362122,0.500742401209,0.525496702867,,,,,,
34,0.498855884642,0.497701642385,0.501595915343,0.495992144947,0.513631513638,,,,,,
35,0.488867161355,0.487234260448,0.493819237319,0.486277222922,0.505864449346,,,,,,
36,0.477043660568,0.477267939288,0.491153170708,0.479804039501,0.493489277291,,,,,,
37,0.47468632276,0.475325988414,0.488657338949,0.476072996943,0.490138129769,,,,,,
38,0.471191458436,0.471769607443,0.486456115133,0.473258708966,0.487761774363,,,,,,
39,0.467382920201,0.464671064337,0.480093076303,0.466712270595,0.479947137134,,,,,,
40,0.458215357068,0.458631964464,0.471827929441,0.46000507984,0.47101565228,,,,,,
41,0.454877923472,0.451996419598,0.468961564924,0.457670019519,0.469908695032,,,,,,
42,0.445211454998,0.446147444345,0.461660264729,0.445741120115,0.462035460515,,,,,,
43,0.438680667844,0.440018146597,0.457119814253,0.437671021338,0.457188355923,,,,,,
44,0.435770199447,0.438015588362,0.451063793834,0.436265782082,0.454107651977,,,,,,
45,0.427780758559,0.428059675115,0.446811668001,0.430212998408,0.450310393123,,,,,,
46,0.425512754302,0.426318530005,0.443306269486,0.426014149567,0.447772233478,,,,,,
47,0.424050975618,0.425991025348,0.442926285249,0.425466198509,0.44445360008,,,,,,
48,0.415376003197,0.413828793137,0.433503656938,0.41423501521,0.432575985875,,,,,,
49,0.410936158898,0.410414316174,0.429133180361,0.409720900141,0.427763534017,,,,,,
