Time(Iteration),CAB_true_decrease
0,7.67963862075
1,16.0832109714
2,24.0744398766
3,31.6877239549
4,39.9959722305
5,46.3616031463
6,54.1910716566
7,61.5849827386
8,68.9861923103
9,75.0542408299
10,82.3871781924
11,87.7216045814
12,94.0803087323
13,101.498494662
14,109.33617624
15,118.44147761
16,125.742955173
17,133.085319114
18,141.230872445
19,148.120497922
20,156.462657379
21,161.708096989
22,167.461740184
23,174.977832442
24,182.276388863
25,189.360311104
26,197.241415769
27,203.212152338
28,209.694796382
29,217.179387125
30,223.505286566
31,231.28570708
32,238.388749428
33,244.509072011
34,251.873901522
35,258.630006295
36,265.891017539
37,272.845661924
38,280.242111127
39,287.307272909
40,294.132000831
41,301.261892062
42,309.022148169
43,315.356468169
44,320.923814368
45,327.417610263
46,333.745506548
47,341.192334542
48,346.66491227
49,352.996490095
50,361.540674313
51,369.206232117
52,375.678013158
53,383.366133802
54,389.883513171
55,397.039754258
56,403.873201436
57,412.188013279
58,418.827182473
59,426.419092665
60,433.061103983
