Time(Iteration),CABCoTheta,CAB_originalCoTheta,,,,,,
0,0.311207644081,0.311207644081,,,,,,
1,0.301031371941,0.301031371941,,,,,,
2,0.295867772316,0.295867772316,,,,,,
3,0.291821714249,0.291821714249,,,,,,
4,0.285074671524,0.285074671524,,,,,,
5,0.279487685089,0.279487685089,,,,,,
6,0.275159246446,0.275159246446,,,,,,
7,0.27081206555,0.27081206555,,,,,,
8,0.261827596676,0.261827596676,,,,,,
9,0.253439675747,0.253439675747,,,,,,
10,0.244968084689,0.244968084689,,,,,,
11,0.243211093884,0.243211093884,,,,,,
12,0.237059757842,0.237059757842,,,,,,
13,0.23367983964,0.23367983964,,,,,,
14,0.230622450101,0.230622450101,,,,,,
15,0.226990674881,0.226990674881,,,,,,
16,0.221715553092,0.221715553092,,,,,,
17,0.217706109971,0.217706109971,,,,,,
18,0.215760028071,0.215760028071,,,,,,
19,0.213439360507,0.213439360507,,,,,,
20,0.209004043369,0.209004043369,,,,,,
21,0.207416205985,0.207416205985,,,,,,
22,0.205196816577,0.205196816577,,,,,,
23,0.2005579139,0.2005579139,,,,,,
24,0.198470465767,0.198491933563,,,,,,
25,0.19584336306,0.195864950811,,,,,,
26,0.193117749076,0.193146637702,,,,,,
27,0.189522563328,0.189596413118,,,,,,
28,0.187940894816,0.188014411986,,,,,,
29,0.185204910712,0.185288862569,,,,,,
30,0.182528963411,0.182613115413,,,,,,
31,0.180497160666,0.180506213957,,,,,,
32,0.178737304653,0.178761433304,,,,,,
33,0.177404654164,0.177491557178,,,,,,
34,0.176011023104,0.175864644566,,,,,,
35,0.173799412716,0.173643103899,,,,,,
36,0.172863526112,0.172777787647,,,,,,
37,0.172308600719,0.172196029421,,,,,,
38,0.171135377825,0.171154599009,,,,,,
39,0.170059381443,0.170517071542,,,,,,
40,0.169477883561,0.169842801379,,,,,,
41,0.16851953374,0.168914964935,,,,,,
42,0.166287346052,0.166693041797,,,,,,
43,0.165819242242,0.165964920423,,,,,,
44,0.164153636836,0.164354707995,,,,,,
45,0.163808178186,0.163925813317,,,,,,
46,0.162847544037,0.162535246729,,,,,,
47,0.161764644416,0.161655346994,,,,,,
48,0.160646635705,0.160371686559,,,,,,
49,0.160677980886,0.160282363642,,,,,,
50,0.160028675243,0.159631708008,,,,,,
