Time(Iteration),CAB_User,CAB,CAB_original,LinUCB
0,1.87153911496,1.87153911496,1.87153911496,1.48428045893
1,3.47466106241,3.47466106241,3.47466106241,3.060384144
2,4.67384606427,4.67384606427,4.67384606427,3.93088759112
3,5.30292098257,5.30292098257,5.30292098257,4.9071420372
4,6.2104723223,6.2104723223,6.2104723223,6.07105140024
5,6.95110144137,6.95110144137,6.95110144137,6.81389431956
6,7.62190765642,7.62190765642,7.62190765642,7.72044824996
7,8.34042319479,8.34042319479,8.34042319479,8.42034079844
8,8.98312441613,8.98312441613,8.98312441613,9.04115664901
9,9.35371514793,9.35371514793,9.35371514793,9.57646437137
10,9.78287266327,9.78287266327,9.78287266327,10.1679516718
11,10.2081872815,10.2081872815,10.2081872815,10.6772698451
12,10.706196783,10.706196783,10.706196783,11.3251589366
13,11.2357521988,11.2357521988,11.2357521988,11.7349680871
14,11.55765761,11.55765761,11.55765761,12.2579605282
15,11.8714776491,11.8714776491,11.8714776491,12.6870992602
16,12.2034131429,12.2034131429,12.2034131429,12.9984116451
17,12.4698935238,12.4759403979,12.4698935238,13.2547214561
18,12.6984545772,12.7014976945,12.6984545772,13.4377289939
19,12.8833121223,12.9157555344,12.8833121223,13.7499593475
20,13.0869552012,13.1116755014,13.0869552012,14.0306356345
21,13.1795525081,13.2297808314,13.1795525081,14.1549526768
22,13.3233779644,13.4305946289,13.3233779644,14.3691924137
23,13.5231540991,13.6209282531,13.5231540991,14.5652703852
24,13.5881614656,13.7101843172,13.5881614656,14.7141275104
25,13.657456314,13.7794791655,13.657456314,14.949408133
26,13.7744887364,13.890849416,13.7744887364,15.0686180449
27,13.8498481133,13.966208793,13.8498481133,15.2599872905
28,14.0443588285,14.1566463006,14.0443588285,15.3875710458
29,14.0901725268,14.2467031487,14.0901725268,15.641143089
30,14.2030064229,14.3595370448,14.2030064229,15.9219751079
31,14.3211498551,14.4689651317,14.3211498551,16.0658246145
32,14.5329877903,14.6808030668,14.5329877903,16.1123320221
33,14.6300397856,14.7778550621,14.6300397856,16.1981030657
34,14.7706317836,14.9162909568,14.7706317836,16.3780455395
35,14.8714756441,15.0580722551,14.8714756441,16.5056716847
36,15.0110094763,15.164930947,15.0110094763,16.63875463
37,15.1911366472,15.2703594915,15.1911366472,16.8358144787
38,15.2694324634,15.3666651709,15.2694324634,17.0139968737
39,15.3381856179,15.4435150803,15.3381856179,17.1368465087
40,15.4455977969,15.5472121954,15.4455977969,17.2050690861
41,15.6623808895,15.7707363133,15.6623808895,17.3860869674
42,15.7089918217,15.8275882757,15.7089918217,17.4604902257
43,15.9260891176,16.0261705339,15.9260891176,17.6666213893
44,16.1255146606,16.225596077,16.1255146606,17.8429048913
45,16.1783924434,16.2784738598,16.1783924434,17.965158109
46,16.202250865,16.3091791829,16.202250865,18.0376373371
47,16.4013116513,16.5082399692,16.4013116513,18.1429243006
48,16.5189046675,16.6204661334,16.5189046675,18.1564014097
49,16.6364814915,16.7059738047,16.6364814915,18.1899711209
50,16.6775849404,16.7470772537,16.6775849404,18.2643221331
51,16.7224706121,16.7949161989,16.7224706121,18.2969846014
52,16.7755000619,16.8479456488,16.7755000619,18.362405231
53,16.8131721802,16.8856177671,16.8131721802,18.4271512636
54,16.8623755788,16.9348211656,16.8623755788,18.4379659409
