Time(Iteration),CAB_cbj,CAB_original,CAB_optimal,LinUCB
106,17.7354183112,63.6126436494,36.5214740737,58.7788003989
107,17.7495608614,63.7479899521,36.5214740737,59.1242595205
108,17.7495608614,63.788447883,36.5903369658,59.2089764932
109,17.7739103354,63.8283307583,36.5903369658,59.2488593685
110,17.7761101099,63.9155340349,36.6517381778,59.3598091664
111,17.7887194276,63.9792158367,36.6517381778,59.3958633591
112,17.8114504089,63.9799411515,36.6593742808,59.4046009205
113,17.8311030628,63.9995938054,36.6971198525,59.5106434439
114,17.8364468806,64.0517539205,36.7590825329,59.5592880332
115,17.8364468806,64.1423525026,36.8265545077,59.6198176056
116,17.8515087809,64.1909730531,36.8374056242,59.646002943
117,17.8610468334,64.3158073549,36.8469436767,59.7505142437
118,17.8819642825,64.4072798437,36.8944832237,59.8505651801
119,17.8986220309,64.5013741764,36.9111409722,59.8883615259
120,17.903872347,64.5381106375,36.9163912883,59.9522147266
121,17.9165486014,64.5988252263,36.9290675427,60.0129293154
122,17.9221690971,64.6781014953,36.9346880384,60.1894034389
123,17.9539919045,64.7085062323,36.9348312319,60.293680443
124,17.9584590225,64.7359758795,36.9551590191,60.3266300823
125,17.971421379,64.748938236,36.9681213756,60.4979725635
126,17.9766550598,64.7507167579,37.0103768018,60.624741989
127,17.9766550598,64.8377172753,37.0275406467,60.624741989
128,17.9917102942,64.9508949466,37.0355631305,60.7319683295
129,17.9954930469,64.9575068974,37.0393458832,60.7689299622
130,17.9954930469,64.9575068974,37.1311132433,60.7783746034
131,18.0009790146,64.9629928651,37.1717145327,60.903369312
132,18.0059167501,65.0086291735,37.1850343036,60.9642493353
133,18.0140812755,65.3255763808,37.404005385,61.0082197847
134,18.017428555,65.3289236603,37.4154607062,61.058172117
135,18.0196941698,65.3311892751,37.417726321,61.146801235
136,18.0196941698,65.3351881118,37.4273905074,61.2157762029
137,18.0196941698,65.3351881118,37.4273905074,61.2157762029
138,18.0196941698,65.3403833208,37.4273905074,61.267494925
139,18.0196941698,65.4030316887,37.4918999381,61.3499443839
140,18.0196941698,65.4030316887,37.5232420041,61.3499443839
141,18.0303863436,65.5070337975,37.5357538588,61.4423693412
142,18.0303863436,65.5370658522,37.5990513292,61.4724013959
143,18.0572354041,65.5467784425,37.6250149403,61.4992504564
144,18.0757261309,65.5652691694,37.6435056671,61.5149797804
145,18.0859895488,65.7127688798,37.6600893055,61.5484853947
146,18.0915813313,65.7417875261,37.6752817858,61.5602354614
147,18.0966552243,65.8074076883,37.6854592479,61.5745328665
148,18.13466051,65.8311400505,37.7234645337,61.6358340445
149,18.1725443398,66.0734357868,37.8167967175,61.7183123997
150,18.1775996717,66.0784911188,37.8218520495,61.7233677316
151,18.1816063572,66.0784911188,37.8258587349,61.7249867544
152,18.1816063572,66.0784911188,37.8517659739,61.8014903366
153,18.1873703943,66.088408959,37.8612897898,61.8114081768
154,18.1924728762,66.0977267388,37.8663922717,61.814647976
155,18.1987734477,66.1040027759,37.9216102223,61.8209240131
156,18.2016424274,66.1106394017,37.9253778684,61.8324107321
157,18.202353924,66.2244350488,37.9297780883,61.957324627
158,18.2040930334,66.2756540248,37.9582695444,62.0010585435
159,18.2046791247,66.3417048016,37.9588556357,62.0115684206
160,18.2183732024,66.3990451401,38.1126269497,62.1839878107
161,18.2183732024,66.3990451401,38.1126269497,62.1839878107
162,18.2189626126,66.4281127172,38.1249177317,62.1854146394
163,18.2192064209,66.5261396125,38.1249177317,62.1854146394
164,18.2241499444,66.531083136,38.1249177317,62.1903581629
165,18.2241499444,66.531083136,38.1426767709,62.2081172021
166,18.2395593197,66.6057876284,38.1592863531,62.2865569616
167,18.2395593197,66.6200022017,38.1592863531,62.3007715349
168,18.2419518098,66.766835896,38.1712493104,62.4476052291
169,18.2457712181,67.01305877,38.208291799,62.5173662185
170,18.2457712181,67.0890609291,38.2142570073,62.6903051087
171,18.2457712181,67.1424980907,38.2142570073,62.7437422703
172,18.2475437116,67.1615648996,38.2160295008,62.8032636145
173,18.2559115609,67.1757632372,38.2302278385,62.8341579156
174,18.2559115609,67.1757632372,38.2302278385,62.8341579156
175,18.2570251137,67.2016380993,38.2353112362,62.8353232478
176,18.2570251137,67.2016380993,38.2353112362,62.8353232478
177,18.2627458752,67.2016380993,38.2428108838,62.8353232478
178,18.2719702071,67.2108624312,38.2520280027,62.9300973433
179,18.2948367211,67.2296620095,38.2748945168,62.9529638573
180,18.299852089,67.3039851547,38.2780955019,62.9633637482
181,18.310523819,67.3555602795,38.2780955019,62.9633637482
182,18.3119667449,67.3570032055,38.3096466778,62.9928591453
183,18.320326225,67.3665250714,38.3191685437,63.1023904336
184,18.320326225,67.3684059286,38.3405703248,63.1622062037
185,18.320326225,67.3969216378,38.3405703248,63.1907219128
186,18.3335308746,67.4739863122,38.3537749744,63.2313897147
187,18.3406554481,67.4811108858,38.3609224795,63.2343114612
188,18.3406554481,67.5685666646,38.3786155204,63.2762315458
189,18.3406554481,67.5685666646,38.3786155204,63.2762315458
190,18.3429386378,67.5685666646,38.3808987101,63.2762315458
191,18.3429386378,67.5972009851,38.3847484843,63.2971406751
192,18.3459854648,67.5972009851,38.3877953114,63.3066730538
193,18.3459854648,67.6745260927,38.3877953114,63.3839981614
194,18.3459854648,67.6867981735,38.4233329141,63.4269591308
195,18.3490917008,67.6875832906,38.42643915,63.4271811087
196,18.3508888936,67.7139125315,38.4282363429,63.4535103495
197,18.3549386297,67.7179622676,38.4318682958,63.4565875209
198,18.3701358135,67.7355654984,38.4816649596,63.4872931309
199,18.3701358135,67.7355654984,38.4816649596,63.5233578041
