Time(Iteration),CAB_original,CAB_cbj+cbij,CAB_optimal,LinUCB
0,4.94817455649,5.15538111299,5.15538111299,4.86799376874
1,8.38928201563,9.23488404966,7.68013510432,9.5427335394
2,13.0185116822,12.9702553927,9.95464966287,13.1964475918
3,16.4796087346,16.0849748409,11.2651853414,14.6897613245
4,19.3423450453,19.086155502,13.0403032649,17.4745585978
5,23.3997574254,22.1230567682,14.1615367118,19.3657188468
6,26.8759937586,25.2250566197,16.2777043586,21.552614227
7,28.9330709658,27.661369039,17.4484987527,24.3866600758
8,31.4543131375,30.7677814363,18.2289846534,26.3765457875
9,33.3445026446,33.1170251204,19.6476116757,27.516370592
10,35.1822851584,35.7162675964,20.1853322031,28.7809406334
11,37.1891321318,37.6569999726,20.9169023604,29.9859319103
12,39.1675617106,40.0106238701,21.8443426535,31.4269814857
13,40.4460624428,41.8576693312,22.1820161051,33.1795946112
14,41.9085708902,43.8721916225,22.5166766503,34.2519797557
15,43.4514607259,45.8495612327,23.1661303043,35.4291863884
16,44.0101327086,47.1784527431,23.6227763579,36.1989691823
17,44.738079089,48.6287137892,23.9658858993,36.863955153
18,45.484602457,49.9332405334,24.2012199381,37.6472249743
19,46.2021912045,50.7905826444,24.3383851769,38.2577249832
20,47.0752450536,51.2959668331,24.8281236842,39.4012807757
21,47.7287487901,51.9191185508,25.1281760302,39.7981959609
22,48.1532048096,52.4817853638,25.3149776701,40.4786266582
23,48.4939262978,53.1142838024,25.5593646207,41.0092752627
24,48.9802637757,53.3624122719,25.6040071545,41.6378580871
25,49.1925778655,53.8614878777,25.7104859582,42.0125911082
26,49.4691071885,54.1441804263,25.7104859582,42.7822656947
27,50.4589971738,54.4111343863,26.0582148176,43.8047269049
28,50.8242661101,55.064551584,26.1252546427,44.7765004987
29,50.9518275871,55.686409919,26.4076443612,45.369161989
30,51.5355598498,56.2186417168,26.554678701,45.997048938
31,51.8580094536,56.735854625,26.7291546293,46.1709126861
32,52.2751562119,57.0958933641,26.8814329894,46.4418895418
33,52.3480045777,57.4152884829,26.9542813551,46.8339052344
34,52.4247151881,57.5952564419,26.9652170067,47.0324576358
35,52.6727497841,57.7955544128,27.1559817051,47.2362774836
36,52.7894109431,58.1047362629,27.2676736839,47.3920546183
37,53.1084846959,58.4856826437,27.5000427877,47.7982607867
38,53.1932307768,58.694133552,27.5851268027,48.0006314009
39,53.5452770365,58.9531852811,27.710976575,48.4714461785
40,53.9950418297,59.2051387543,27.8356335471,48.709580366
41,54.1046305449,59.2883040266,27.8623550475,48.8412643337
42,54.5338407455,59.7233007808,28.0928894487,49.3842286411
43,54.6479914888,59.9720170864,28.2075559423,49.6141325227
44,54.7873115391,60.1238088139,28.2897224624,49.8534136519
45,54.9558178135,60.5816576065,28.324148486,50.0366228637
46,55.2815744995,60.8980197678,28.4707527393,50.176944302
47,55.5501133928,61.2919543722,28.7027757584,50.4457807009
48,55.6716456321,61.4666220327,28.7765248874,50.6901004606
49,55.7223479684,61.5542484935,28.7844250769,50.9428471535
50,55.8498489391,61.6852638948,28.7966683565,51.0019853965
51,55.9138258548,61.7928339188,28.8116260635,51.0765775697
52,56.2285805795,61.9912173617,28.8883695223,51.3148527113
53,56.3539984937,62.1280878043,28.9415245259,51.6583385462
54,56.4458319793,62.2435337723,29.0069793456,51.8205259603
55,56.4987433685,62.3669152611,29.0446718043,52.1480843433
56,56.596708446,62.5866591553,29.3804129657,52.5866720786
57,56.7023323623,62.881512622,29.3915631802,52.8436375802
58,56.8231565054,63.079482546,29.5028408599,53.0128269668
59,57.0057009208,63.3762203384,29.5595611923,53.1760824344
60,57.0823948816,63.4788317965,29.6464879177,53.4798779179
