Time(Iteration),CAB_idealNewCoTheta,CAB_originalCoTheta,CAB_optimalCoTheta,LinUCBCoTheta,,,,,,
0,0.977049150528,0.980892392183,0.977049150528,0.978998238133,,,,,,
1,0.965539806157,0.974957867692,0.945336260883,0.963911110518,,,,,,
2,0.951386950118,0.957748849654,0.93551671307,0.951436113656,,,,,,
3,0.929861761026,0.952690079075,0.930298360847,0.929335407453,,,,,,
4,0.91547246227,0.925034216263,0.921255412865,0.918321762275,,,,,,
5,0.901880985736,0.918215342435,0.911562052328,0.897615976367,,,,,,
6,0.890247785539,0.908790221012,0.903111842355,0.891003620358,,,,,,
7,0.879602074929,0.895234689959,0.89516864717,0.880001322042,,,,,,
8,0.866291387572,0.885611138832,0.886869086196,0.869029225103,,,,,,
9,0.845396650278,0.868416577119,0.867871094971,0.842336686991,,,,,,
10,0.838755059747,0.85592238408,0.863801024967,0.826011012935,,,,,,
11,0.830254457313,0.8505037421,0.859732313895,0.82240815018,,,,,,
12,0.822205998761,0.851301198176,0.835204111984,0.806912555164,,,,,,
13,0.806393527181,0.832313375652,0.820992494464,0.784283532162,,,,,,
14,0.791191142447,0.819136464716,0.813849094064,0.7741438116,,,,,,
15,0.787452560237,0.819041840299,0.801742763123,0.767287103923,,,,,,
16,0.783104225474,0.819485575401,0.797839489571,0.769083515964,,,,,,
17,0.775720591632,0.816699143696,0.790390334181,0.768088135282,,,,,,
18,0.768676822456,0.808272628295,0.784625726255,0.765469534168,,,,,,
19,0.755520393036,0.785529955466,0.767687362937,0.755060369264,,,,,,
20,0.751954014956,0.779022963604,0.757163693558,0.75501309864,,,,,,
21,0.751514979257,0.770856944224,0.74274538869,0.75543030355,,,,,,
22,0.747669882292,0.762145290684,0.739537525313,0.750391273411,,,,,,
23,0.738554100066,0.7608824114,0.736061244301,0.739033958374,,,,,,
24,0.729891527695,0.754922524398,0.731949394679,0.735609110502,,,,,,
25,0.721423413724,0.740818239152,0.722922070038,0.731492957038,,,,,,
26,0.707872309095,0.736503267735,0.710837112389,0.71895652326,,,,,,
27,0.709820720704,0.72491458413,0.70296235015,0.711476803115,,,,,,
28,0.700266462249,0.71576868741,0.696114283319,0.708347767191,,,,,,
29,0.702939025654,0.704824258773,0.686659824002,0.703736354935,,,,,,
30,0.704051176543,0.68822025861,0.689300078093,0.697665461641,,,,,,
31,0.697872264264,0.682820221488,0.685080832165,0.690718537354,,,,,,
32,0.689268661384,0.677962243713,0.675041678146,0.683456286987,,,,,,
33,0.678874427391,0.668806187891,0.670768547839,0.676790863299,,,,,,
34,0.671974410704,0.663305752254,0.664510701206,0.667757984237,,,,,,
35,0.661970059764,0.655885682469,0.656753368514,0.661382264176,,,,,,
36,0.661381686463,0.647492622238,0.654447290115,0.656893002757,,,,,,
37,0.651089219278,0.647853444547,0.655345702083,0.648527743353,,,,,,
38,0.64875466497,0.647805163265,0.654790718873,0.644596117976,,,,,,
39,0.643222540194,0.646718461854,0.645865475036,0.635917064438,,,,,,
40,0.644004055908,0.642422457354,0.648728064739,0.633540927327,,,,,,
41,0.638289246068,0.637092655084,0.647231900827,0.631837571736,,,,,,
42,0.634712585092,0.633311924745,0.645474835725,0.631533879666,,,,,,
43,0.630004246507,0.628467546891,0.643800777942,0.624682827289,,,,,,
44,0.631145763453,0.626854824699,0.640241810334,0.626274181555,,,,,,
45,0.625610433112,0.621091458601,0.631476654628,0.623790350101,,,,,,
46,0.624438197783,0.628251726387,0.63201051689,0.620753083917,,,,,,
47,0.626252288198,0.625422770428,0.629426827289,0.620713332731,,,,,,
48,0.621925006825,0.619034377389,0.627134617465,0.618717672063,,,,,,
49,0.625140512353,0.621791575633,0.626931556116,0.614361130619,,,,,,
50,0.615981763409,0.612691998529,0.621697865056,0.608658882927,,,,,,
51,0.611625394938,0.611614175421,0.618565460328,0.606201938807,,,,,,
52,0.613197392039,0.60949102327,0.613889764402,0.602326740404,,,,,,
53,0.602941235198,0.600533677395,0.606278368985,0.594170879707,,,,,,
54,0.594311749575,0.599114839422,0.601801627453,0.590632961162,,,,,,
55,0.587091202001,0.593377211177,0.595008149661,0.580565824301,,,,,,
56,0.575646340093,0.590516989099,0.592755711437,0.570567386896,,,,,,
57,0.572929061448,0.585638423398,0.58629279658,0.567738623997,,,,,,
58,0.562314962579,0.582285366937,0.580369479993,0.564585850418,,,,,,
59,0.557745444975,0.578601012537,0.575518118612,0.561587465971,,,,,,
60,0.555959547142,0.573645660895,0.575411312833,0.553931696616,,,,,,
61,0.551606866763,0.566482665921,0.566529164955,0.5509719308,,,,,,
62,0.543543313807,0.569051967101,0.562766196338,0.54136914493,,,,,,
63,0.547310202886,0.568201396561,0.563977930965,0.547204289698,,,,,,
64,0.541362660736,0.56467245723,0.558813981975,0.542902069196,,,,,,
65,0.541369973479,0.565165094685,0.561785992535,0.542921777065,,,,,,
66,0.538347962246,0.56136319968,0.557956603459,0.53919973628,,,,,,
67,0.533718706358,0.556714201532,0.556479844498,0.537592076917,,,,,,
68,0.531654395164,0.557425258426,0.553764250525,0.534567385156,,,,,,
69,0.53411911136,0.557142838611,0.557578946149,0.536299336617,,,,,,
70,0.53354879927,0.559574009168,0.556266647412,0.534888568901,,,,,,
71,0.531399184661,0.556166412127,0.556036675176,0.533658809022,,,,,,
72,0.526084550065,0.553979863449,0.554906559663,0.532121158136,,,,,,
73,0.522700454009,0.549689234287,0.549186225739,0.53033639901,,,,,,
74,0.52506273148,0.547522042061,0.548609825287,0.528588724595,,,,,,
75,0.52325352452,0.548582078361,0.548954035911,0.52607037267,,,,,,
76,0.520748307311,0.549222299397,0.547120499729,0.525216942587,,,,,,
77,0.523466527687,0.547539277382,0.543915475252,0.519330954616,,,,,,
78,0.522627257733,0.545842364877,0.540683457899,0.517420947022,,,,,,
79,0.520887409118,0.542519529013,0.541222760364,0.516653910882,,,,,,
80,0.520195784254,0.536439400636,0.541789259377,0.509186594913,,,,,,
81,0.517469875223,0.532533188203,0.538628294727,0.507584430095,,,,,,
82,0.516326508033,0.526673134528,0.535233020651,0.507721639008,,,,,,
83,0.516251627204,0.523523329536,0.534670862238,0.505292702386,,,,,,
84,0.514353518794,0.524557536229,0.529021532737,0.505101515931,,,,,,
85,0.513509195615,0.523923920912,0.529621015395,0.505278903257,,,,,,
86,0.51052456242,0.525457102279,0.531634673463,0.504739425458,,,,,,
87,0.504119621534,0.520302031204,0.528421133957,0.503513618951,,,,,,
88,0.502638342084,0.520562631927,0.525689385485,0.504230166515,,,,,,
89,0.498668299221,0.512335279148,0.524128789055,0.50036823621,,,,,,
90,0.495474550829,0.511020084955,0.522037499848,0.496253964713,,,,,,
91,0.500433266032,0.512597669471,0.522990743254,0.494319811657,,,,,,
92,0.498283110603,0.509741014348,0.521055848262,0.49319767629,,,,,,
93,0.500243291849,0.509781001639,0.519518913951,0.493071566861,,,,,,
94,0.499579963294,0.509648224659,0.515303623092,0.491210557717,,,,,,
95,0.497438880944,0.509327460385,0.513567251969,0.492294530987,,,,,,
96,0.491080543921,0.51447097665,0.515247793268,0.494030660462,,,,,,
97,0.489153396278,0.515063772803,0.51256714537,0.489223028759,,,,,,
98,0.48822702941,0.516282914608,0.511030096729,0.48645663199,,,,,,
99,0.489435342784,0.512939233021,0.507232186226,0.48545118394,,,,,,
100,0.485977471422,0.510051297863,0.503819855646,0.480725441084,,,,,,
101,0.485806291021,0.509816076961,0.503719447356,0.477512492035,,,,,,
102,0.483466611205,0.507013450801,0.501622131026,0.477517072831,,,,,,
103,0.482985055124,0.504404856101,0.499050285372,0.477797383986,,,,,,
104,0.482607365956,0.503410953686,0.496063692178,0.479994939706,,,,,,
105,0.482125440857,0.503778295048,0.495417795063,0.477711021158,,,,,,
106,0.483273317758,0.505228263811,0.494562015395,0.480520942365,,,,,,
107,0.481616573405,0.50243355835,0.491169835658,0.477302402912,,,,,,
108,0.482397528857,0.503615270068,0.488443347301,0.477594087325,,,,,,
109,0.480339304486,0.504262641097,0.488663603469,0.478208563218,,,,,,
110,0.478595741922,0.502374684162,0.486443903606,0.477086228602,,,,,,
111,0.476501316827,0.501313713759,0.485578620158,0.476915877362,,,,,,
112,0.474607298083,0.499053735042,0.482652080494,0.475338843658,,,,,,
113,0.475729178212,0.498071489432,0.480906935239,0.47429683494,,,,,,
114,0.476624602903,0.498135260153,0.482763489548,0.4733867142,,,,,,
115,0.475798811141,0.496505827981,0.48133333142,0.472284408924,,,,,,
116,0.471443072855,0.496672807162,0.481078038737,0.470693138098,,,,,,
