Time(Iteration),CAB_true_decreaseCoTheta,,,,,,
0,0.974418834142,,,,,,
1,0.951318346057,,,,,,
2,0.933676954395,,,,,,
3,0.922096566592,,,,,,
4,0.896288034388,,,,,,
5,0.881714168545,,,,,,
6,0.864668855284,,,,,,
7,0.843975584964,,,,,,
8,0.816477082198,,,,,,
9,0.802713405401,,,,,,
10,0.781104464895,,,,,,
11,0.750672005259,,,,,,
12,0.731207295777,,,,,,
13,0.715405331111,,,,,,
14,0.697166808217,,,,,,
15,0.680006835046,,,,,,
16,0.670254896839,,,,,,
17,0.659309467298,,,,,,
18,0.648566351327,,,,,,
19,0.63433770141,,,,,,
20,0.625707921528,,,,,,
21,0.613120549452,,,,,,
22,0.602323413463,,,,,,
23,0.585861961147,,,,,,
24,0.578039874747,,,,,,
25,0.573402454843,,,,,,
26,0.563963088281,,,,,,
27,0.556629096088,,,,,,
28,0.544390741143,,,,,,
29,0.53164212222,,,,,,
30,0.527000150734,,,,,,
31,0.520269045784,,,,,,
32,0.510752741616,,,,,,
33,0.501004608313,,,,,,
34,0.497478608254,,,,,,
35,0.493258654524,,,,,,
36,0.483486112455,,,,,,
37,0.48087352139,,,,,,
38,0.475041152356,,,,,,
39,0.470285254439,,,,,,
40,0.462405608372,,,,,,
41,0.456119917682,,,,,,
42,0.445011639609,,,,,,
43,0.437119824864,,,,,,
44,0.435050381513,,,,,,
45,0.432643857263,,,,,,
46,0.430247536336,,,,,,
47,0.427664073402,,,,,,
48,0.426835439939,,,,,,
49,0.418187082271,,,,,,
50,0.414887532925,,,,,,
51,0.411348409374,,,,,,
52,0.406736932104,,,,,,
53,0.404707440225,,,,,,
54,0.401476139678,,,,,,
55,0.399492526569,,,,,,
56,0.392343336137,,,,,,
57,0.389572167468,,,,,,
58,0.385259691576,,,,,,
59,0.38455947373,,,,,,
60,0.380847725919,,,,,,
