Time(Iteration),CAB
0,1.88493218283
1,3.66190185689
2,5.33563060097
3,6.83968274125
4,8.42094824994
5,9.56780885401
6,11.0608946549
7,12.4638521503
8,13.5735570708
9,14.594609883
10,15.6146719459
11,16.6275713852
12,17.4489261945
13,18.3541887631
14,18.94588392
15,19.7723326973
16,20.3369338519
17,20.9694876111
18,21.6875467486
19,22.0827162769
20,22.5073782918
21,22.957271858
22,23.3608585616
23,23.68145019
24,23.9638602211
25,24.2829761335
26,24.5742956144
27,24.88383102
28,25.2486600354
29,25.5584628809
30,25.8074444068
31,25.9600423947
32,26.2025411794
33,26.3950409991
34,26.6026465526
35,26.8244364424
36,27.0806280887
37,27.4077643343
38,27.5257350475
39,27.6601745012
40,27.7747106003
41,27.9117609911
42,28.1539808915
43,28.3024429046
44,28.403897306
45,28.5679720539
46,28.7755937747
47,29.0073531983
48,29.1103829
49,29.2946861757
50,29.4213802802
51,29.5026204783
52,29.6090997121
53,29.725097198
54,29.8038004362
55,29.9279758617
56,30.0650731212
57,30.2614439803
58,30.360184354
59,30.4295336776
60,30.5094991734
61,30.6430833239
62,30.6901521376
63,30.7862391892
64,30.9152285324
65,31.0452845835
66,31.1834172347
67,31.288166536
68,31.4267729223
69,31.5301232901
70,31.6117377361
71,31.6695076222
72,31.7603223915
73,31.867865982
74,31.9586884275
75,32.0189618034
76,32.1552947474
77,32.2688989068
78,32.4139257725
79,32.4747248205
80,32.5317922916
81,32.5994889756
82,32.6654689877
83,32.791308087
84,32.9278709855
85,33.0158706268
86,33.1171736962
87,33.1411471359
88,33.2440834293
89,33.2825531627
90,33.3453082592
91,33.3960564013
92,33.4215606303
93,33.4754527871
94,33.5788027264
95,33.6914922017
96,33.7293511237
97,33.746092563
98,33.7677528291
99,33.8616030365
100,33.8947020158
101,33.9524902645
102,34.0579394436
103,34.105621916
104,34.2008460256
105,34.2222690998
106,34.2523405441
107,34.27931591
108,34.3402708195
109,34.3772284136
110,34.4411856649
111,34.5017825789
112,34.5531976834
113,34.5838115473
114,34.60262155
115,34.6635711998
116,34.6657596814
117,34.6817946593
118,34.6980184405
119,34.7324228481
120,34.8048616458
121,34.8288223166
122,34.8291293158
123,34.8515498092
124,34.8956449326
125,34.9095664713
126,34.9505069987
127,35.0034620024
128,35.0374156242
129,35.0790620202
130,35.1628917398
131,35.227923014
132,35.3063885165
133,35.3187497302
134,35.329531136
135,35.4107804365
136,35.472271636
137,35.5235975313
138,35.5410906855
139,35.5954734383
140,35.6519793673
141,35.7225174227
142,35.7309332291
143,35.7819751353
144,35.7933970184
145,35.8274273486
146,35.8990940965
147,35.9295527954
148,35.9664567504
149,36.0333540193
150,36.0721308566
151,36.1384866462
152,36.1628881828
153,36.1733301746
154,36.2231382119
155,36.2497374072
156,36.2649785838
157,36.2756933064
158,36.3099245211
159,36.3250292589
160,36.3606070563
161,36.3680882097
162,36.3844222223
163,36.4064118158
164,36.4317306868
165,36.4446144425
166,36.4587831416
167,36.4590120391
168,36.4695626478
169,36.5078975717
170,36.5374861355
171,36.5439082412
172,36.5660049903
173,36.6033240377
174,36.6113148888
175,36.7056965068
176,36.7592360572
177,36.8006163331
178,36.8745759999
179,36.9460327241
180,36.9810427702
181,37.0206204431
182,37.0493523613
183,37.0804725584
184,37.0978150931
185,37.1215452636
186,37.1242592773
187,37.1820486854
188,37.1853195047
189,37.1899840603
190,37.2141547796
191,37.2199381688
192,37.245828939
193,37.3042325211
194,37.3566802976
195,37.3752023147
196,37.4192204644
197,37.4243894749
198,37.4395509215
199,37.460067005
200,37.4652738731
201,37.5194487132
202,37.5954401214
203,37.6276231124
204,37.681055735
205,37.7077412067
206,37.737044564
207,37.7705538167
208,37.80288656
209,37.8061538558
210,37.8829114263
211,37.9089650562
212,37.9435347714
213,38.0276529224
214,38.0395349984
215,38.0612171632
216,38.065452015
217,38.1097392921
218,38.1671495526
219,38.1877907521
220,38.1999949187
221,38.2244708086
222,38.2269184107
223,38.2618164629
224,38.2707591134
225,38.2824372761
226,38.2962566687
227,38.3218209246
228,38.35958195
229,38.4065200094
230,38.4546576193
231,38.4812902533
232,38.5067486412
233,38.5470213158
234,38.6052405994
235,38.6365210413
236,38.6863925694
237,38.7017017204
238,38.7290195247
239,38.7382814592
240,38.7635707681
241,38.8048367846
242,38.8800053976
243,38.8964708051
244,38.9099783909
245,38.9112010772
246,38.9112743798
247,38.9272251178
248,38.9889248774
249,38.9889248774
250,38.9966552955
251,39.0522063453
252,39.0895516129
253,39.0946032317
254,39.1406169008
255,39.1495238882
256,39.1575976218
257,39.1705023951
258,39.2261702032
259,39.2514500563
260,39.2664794832
261,39.2874592895
262,39.3043041395
263,39.3340968808
264,39.3537324922
265,39.379453443
266,39.3813265521
267,39.4042163697
268,39.417772597
269,39.439626168
270,39.4503359203
271,39.5114185051
272,39.5241152364
273,39.5396812886
274,39.5571023555
275,39.6685481779
276,39.6815205117
277,39.6879987676
278,39.7066336451
279,39.7223981434
280,39.7640472337
281,39.7893556364
282,39.7968008139
283,39.8183332268
284,39.8457800511
285,39.8674594478
286,39.9106705975
287,39.913677884
288,39.9372816726
289,39.9824529103
290,39.9873925198
291,40.0468258398
292,40.0953666195
293,40.1092129162
294,40.1092129162
295,40.1279864442
296,40.1547257311
297,40.1761845944
298,40.2048208858
299,40.2204470049
