Time(Iteration),LinUCB_new,LinUCB
0,7.38887897069,7.38887897069
1,11.5743246821,11.5743246821
2,15.1285849762,15.1285849762
3,18.6708871519,18.6708871519
4,20.9021074236,20.9021074236
5,23.2533738526,23.2533738526
6,25.4522768419,25.4522768419
7,28.6372995569,28.6372995569
8,29.8425543013,29.8425543013
9,31.1916492233,31.1916492233
10,32.1185938357,32.0739307918
11,32.7481491547,32.7034861109
12,33.6530882656,33.6511302915
13,34.5482300266,34.3321125972
14,35.175915999,34.917780102
15,35.669023177,35.5321441542
16,36.3706853947,36.3239257958
17,37.2043273173,37.2187379765
18,38.1303323424,38.3914694763
19,38.7050225181,38.98277269
20,39.1741786993,39.5771127623
21,39.607089043,40.010023106
22,40.1823954737,40.5287033997
23,40.8116136055,40.9610376669
24,41.4272500238,41.5423454548
25,41.7439369215,41.8590323525
26,42.1174389049,42.058491151
27,42.9237236542,42.9558799202
28,43.1295188627,43.2049106893
29,43.3790637079,43.483325538
30,43.8035811186,43.8939356645
31,43.937926466,44.0818574837
32,44.0698910212,44.213822039
33,44.3662338037,44.5101648215
34,44.633965881,44.8467799678
35,44.720250778,44.9569467566
36,45.149321966,45.3860179446
37,45.2858671229,45.5227583462
38,45.4705891864,45.7074804097
39,45.6161485143,45.8335270271
40,45.9324811684,46.1498596813
41,46.0115463244,46.2289248372
42,46.368082778,46.5814404681
43,46.5106761219,46.6839131426
44,46.7367967934,46.9038085066
45,46.9234323279,47.136274883
46,47.2806983911,47.3913723973
47,47.3832382601,47.4761947345
48,47.5312877681,47.6437656649
49,47.6043446922,47.7266095488
50,47.8147812307,47.9091104034
51,47.9837054201,48.0780345928
52,48.13510862,48.2294377927
53,48.4379006428,48.5322298155
54,48.6964513138,48.7907804865
55,48.869434664,48.9637638367
56,49.1602370526,49.2545662253
57,49.3258804905,49.4202096632
58,49.4968262066,49.7263609092
59,49.6932110556,49.9464029633
60,49.824458466,50.0776503738
61,49.948319002,50.2015109098
62,50.1728346952,50.426026603
63,50.3303831599,50.5835750676
64,50.4780046127,50.7311965204
65,50.5949394919,50.8481313996
66,50.7160926563,50.969284564
67,50.8252405706,51.0784324784
68,50.9394285754,51.1289500165
69,51.0035460418,51.1930674828
70,51.0395398131,51.2290612542
71,51.1506352262,51.3504748668
72,51.2172663021,51.4171059427
73,51.3293542983,51.529193939
74,51.4378123173,51.6835789368
75,51.5426294083,51.7883960278
76,51.6264049143,51.8721715338
77,51.8839444849,52.1677121942
78,51.9393584265,52.1843057503
79,51.9749771788,52.2199245026
80,52.1805963522,52.425543676
81,52.2610768472,52.4563185089
82,52.3158526208,52.5110942825
83,52.3418360114,52.5370776731
84,52.4430801283,52.63832179
85,52.5097906511,52.7050323128
86,52.5123053147,52.7147214094
87,52.6584534738,52.8608695685
88,52.6935765398,52.8959926346
89,52.8369509632,53.0191528223
90,52.8565655151,53.0387673742
91,52.9588840107,53.1410858698
92,52.9765220959,53.1413028276
93,53.0420671522,53.206847884
94,53.051015163,53.2157958947
95,53.209810874,53.3643730354
96,53.209810874,53.3643730354
97,53.2556358041,53.4099287231
98,53.2932482646,53.4475411837
99,53.3927193313,53.5470122503
100,53.4622346039,53.616527523
101,53.4791112885,53.6334042075
102,53.4791112885,53.6334042075
103,53.496121889,53.650414808
104,53.5723377142,53.7466551147
105,53.5856766318,53.7599940323
106,53.6078738,53.8444882042
107,53.6665551239,53.9031695282
108,53.7146534531,53.9608190428
109,53.7285816214,53.974747211
110,53.7285816214,53.9815738793
111,53.7949904699,54.0479827279
112,53.8950278631,54.1480201211
113,53.8950278631,54.1480201211
114,53.9600167821,54.21300904
115,53.9862030511,54.2391953091
116,53.9862030511,54.2391953091
117,54.0298872213,54.2828794793
118,54.0895795112,54.381333118
119,54.0895795112,54.381333118
120,54.1293710124,54.4211246192
121,54.2357300078,54.500807134
122,54.2376957052,54.5027728314
123,54.2769351124,54.5728457626
124,54.2782188277,54.5741294779
125,54.317285918,54.6131965682
126,54.3918785332,54.6877891834
127,54.5730891872,54.8735143143
128,54.6449183553,54.9462348955
129,54.8556422904,55.1569588306
